name,visitors
United States,2555
Germany,556
United Kingdom,519
Canada,518
India,374
Netherlands,319
France,246
Australia,206
Sweden,196
Italy,195
Vietnam,154
Czechia,144
Philippines,119
Finland,105
Poland,96
Malaysia,93
Ireland,93
Brazil,89
Switzerland,88
Turkey,84
South Africa,81
Singapore,71
Israel,70
Mexico,68
Russian Federation,68
Greece,65
Spain,63
Japan,56
Portugal,49
Taiwan,43
Croatia,41
Romania,39
Denmark,39
Belgium,37
Bahrain,37
New Zealand,36
Ecuador,36
Norway,35
Hungary,35
Lebanon,33
South Korea,29
Pakistan,26
Chile,26
Argentina,25
Nepal,23
Hong Kong,21
Serbia,21
Austria,20
Morocco,19
Thailand,18
Indonesia,17
Bosnia and Herzegovina,17
Lithuania,16
Georgia,15
Cambodia,15
Ukraine,13
Slovakia,13
Dominican Republic,13
Mauritius,13
Belize,13
Peru,12
Bulgaria,12
Jordan,12
Trinidad and Tobago,12
Myanmar,12
Egypt,11
China,11
Kenya,9
Algeria,9
Nigeria,8
Iceland,8
Colombia,7
Estonia,6
Tunisia,6
Latvia,6
Venezuela,5
United Arab Emirates,5
Cameroon,5
Uruguay,5
Panama,4
Bangladesh,4
Sri Lanka,4
Paraguay,4
Saudi Arabia,3
Luxembourg,3
Guatemala,3
Belarus,3
Brunei Darussalam,2
Ethiopia,2
Qatar,2
Saint Lucia,2
Kazakhstan,2
North Macedonia,2
Iraq,2
Cyprus,2
Puerto Rico,2
Azerbaijan,1
Oman,1
Côte d'Ivoire,1
Sudan,1
"Iran, Islamic Republic of",1
Lao People's Democratic Republic,1
Slovenia,1
Malta,1
Costa Rica,1
