name,visitors,bounce_rate,visit_duration
Direct / None,8289,67,79
0_362b1686a3-ad8766cbf1-6055541,2,50,2
0_362b1686a3-ad8766cbf1-4814905,2,50,25
0_362b1686a3-ad8766cbf1-6741493,2,100,0
0_362b1686a3-ad8766cbf1-408245270,2,50,26
0_362b1686a3-ad8766cbf1-406086910,2,50,8
0_362b1686a3-ad8766cbf1-607645035,2,0,4
0_362b1686a3-ad8766cbf1-352060893,1,100,0
0_362b1686a3-ad8766cbf1-6948861,1,0,7
0_362b1686a3-ad8766cbf1-5917193,1,100,0
0_362b1686a3-ad8766cbf1-607637783,1,0,295
0_362b1686a3-ad8766cbf1-6882941,1,100,0
0_362b1686a3-ad8766cbf1-371994445,1,100,0
0_362b1686a3-ad8766cbf1-408094766,1,0,3
0_362b1686a3-ad8766cbf1-21714621,1,0,46
0_362b1686a3-ad8766cbf1-406119726,1,0,2
0_362b1686a3-ad8766cbf1-596853483,1,100,0
0_362b1686a3-ad8766cbf1-608777191,1,0,13
0_362b1686a3-ad8766cbf1-523411230,1,0,67
0_362b1686a3-ad8766cbf1-607639459,1,0,113
0_362b1686a3-ad8766cbf1-6892741,1,100,0
0_362b1686a3-ad8766cbf1-607635567,1,0,16
0_362b1686a3-ad8766cbf1-597133851,1,0,12
0_362b1686a3-ad8766cbf1-7867037,1,100,0
0_362b1686a3-ad8766cbf1-11546121,1,100,0
0_362b1686a3-ad8766cbf1-7392873,1,0,37
0_362b1686a3-ad8766cbf1-607716183,1,0,210
0_362b1686a3-ad8766cbf1-6921993,1,0,15
0_362b1686a3-ad8766cbf1-454784850,1,0,47
0_362b1686a3-ad8766cbf1-607652091,1,100,0
0_362b1686a3-ad8766cbf1-607636907,1,0,41
0_362b1686a3-ad8766cbf1-514963466,1,0,32
0_362b1686a3-ad8766cbf1-454558086,1,100,0
0_362b1686a3-ad8766cbf1-13676849,1,0,68
0_362b1686a3-ad8766cbf1-406352190,1,0,7
0_362b1686a3-ad8766cbf1-608721907,1,100,0
0_362b1686a3-ad8766cbf1-514923086,1,100,0
0_362b1686a3-ad8766cbf1-20909237,1,100,0
0_362b1686a3-ad8766cbf1-7089661,1,100,0
0_362b1686a3-ad8766cbf1-558540350,1,100,0
0_362b1686a3-ad8766cbf1-14185729,1,100,0
0_362b1686a3-ad8766cbf1-591943403,1,0,5
0_362b1686a3-ad8766cbf1-18382409,1,0,11
0_362b1686a3-ad8766cbf1-30845657,1,0,16
0_362b1686a3-ad8766cbf1-14224681,1,0,403
0_362b1686a3-ad8766cbf1-406444622,1,100,0
0_362b1686a3-ad8766cbf1-594732003,1,0,33
0_362b1686a3-ad8766cbf1-14495785,1,100,0
0_362b1686a3-ad8766cbf1-597303567,1,100,0
0_362b1686a3-ad8766cbf1-21045989,1,100,0
