date,visitors,pageviews,visits,views_per_visit,bounce_rate,visit_duration
2022-06-01,0,0,0,0.0,,
2022-07-01,505,877,601,1.45,81,78
2022-08-01,579,1515,723,2.09,47,98
2022-09-01,310,686,411,1.66,64,62
2022-10-01,379,947,551,1.72,62,67
2022-11-01,505,1417,806,1.76,63,134
2022-12-01,424,1030,725,1.42,75,62
2023-01-01,1067,2390,1501,1.59,65,83
2023-02-01,1603,3690,2291,1.61,64,67
2023-03-01,1631,3254,2198,1.48,69,65
2023-04-01,1148,2410,1628,1.48,71,94
2023-05-01,246,467,325,1.44,70,42
